DEPARTAMEN,keiko_pct,rsanchez_pct,ganador,partido_ganador
AMAZONAS,17.44,36.08,Roberto Sánchez,Juntos por el Perú
ANCASH,18.05,14.94,Keiko Fujimori,Fuerza Popular
APURIMAC,6.90,40.88,Roberto Sánchez,Juntos por el Perú
AREQUIPA,7.80,10.04,Jorge Nieto,Partido del Buen Gobierno
AYACUCHO,8.10,31.29,Roberto Sánchez,Juntos por el Perú
CAJAMARCA,13.82,41.70,Roberto Sánchez,Juntos por el Perú
CALLAO,20.67,9.20,Keiko Fujimori,Fuerza Popular
CUSCO,5.90,22.74,Roberto Sánchez,Juntos por el Perú
HUANCAVELICA,7.06,43.38,Roberto Sánchez,Juntos por el Perú
HUANUCO,15.44,29.42,Roberto Sánchez,Juntos por el Perú
ICA,20.33,8.50,Keiko Fujimori,Fuerza Popular
JUNIN,17.00,12.22,Keiko Fujimori,Fuerza Popular
LA LIBERTAD,20.26,9.40,Keiko Fujimori,Fuerza Popular
LAMBAYEQUE,26.41,10.64,Keiko Fujimori,Fuerza Popular
LIMA,17.87,7.30,Rafael López Aliaga,Renovación Popular
LORETO,28.13,9.91,Keiko Fujimori,Fuerza Popular
MADRE DE DIOS,13.58,23.23,Roberto Sánchez,Juntos por el Perú
MOQUEGUA,6.80,12.82,Roberto Sánchez,Juntos por el Perú
PASCO,18.67,18.74,Roberto Sánchez,Juntos por el Perú
PIURA,27.97,11.35,Keiko Fujimori,Fuerza Popular
PUNO,4.50,24.82,Roberto Sánchez,Juntos por el Perú
SAN MARTIN,23.25,23.78,Roberto Sánchez,Juntos por el Perú
TACNA,6.50,11.89,Ricardo Belmont,Partido Cívico Obras
TUMBES,33.96,6.87,Keiko Fujimori,Fuerza Popular
UCAYALI,29.53,12.91,Keiko Fujimori,Fuerza Popular
